#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
1969,N44 Oph,,,,,,2120,,,80612,153-053,BD-09 4394,,,16 27 33.2,-10 00 28.4,0.04619,0.00285,21.65,0.385,212.4,-0.014,-0.32509,13.533,12.341,10.851,9.892,8.842,7.69,7.04,6.834,9.17,,,,1627-1000
1970,N21 CVn,,,,,,1170,,3040,64880,164-062,,,,13 17 58.4,+36 17 56.9,0.04618,0.0021,21.65,0.344,192,-0.0059,-0.33695,,12.91,11.23,10.4,9.6,8.112,7.524,7.346,9.55,23,,,1317+3617
1971,N36 Psc,,,,,,,,206,4849,001-043,BD+04 158,6101,,01 02 24.6,+05 03 41.2,0.04616,0.00159,21.66,0.406,57,0.0228,0.22112,,,,,,,,,,,K2 V,,0102+0503 A
1972,N36 Psc B,,,,,,,,,,,,,,01 02 24.6,+05 03 41.2,0.04616,0.00159,21.66,0.406,57,0.0228,0.22112,,,,,,,,,,,,from HIP,0102+0503 B
1973,N7 Pic,,,,65 G.,AK,,,,31711,,CD-61 1428,48189,2468,06 38 00.4,-61 32 00.2,0.04615,0.00064,21.67,0.088,325.4,-0.007,0.07269,,,,,,,,,,,G1/2 V,,0638-6132 A
1974,N7 Pic B,,,,,,,,,,,,,,06 38 00.4,-61 32 00.2,0.04615,0.00064,21.67,0.088,325.4,-0.007,0.07269,,,,,,,,,,,,from HIP,0638-6132 B
1975,N43 Hya,,,,,,3648,,2607,54704,,CD-25 8519,97343,,11 12 01.2,-26 08 12.0,0.04615,0.00084,21.67,0.279,103.3,0.0202,-0.06432,,7.83,7.04,,,5.702,5.344,5.22,5.36,56.7,G8/K0 V,,1112-2608
1976,N8 CrB,,Sig,17,,TZ,615.2 A,,3689.00 A,79607,,BD+34 2750,146361,6063,16 14 40.9,+33 51 31.0,0.04614,0.00093,21.67,0.28,251.9,-0.0214,-0.08688,,,,,,,,,,,,SIMBAD lists possible fifth component,1614+3351 A
1977,N8 CrB B,,,,,,615.2 D,,,,,,,,16 14 40.9,+33 51 31.0,0.04614,0.00093,21.67,,,,,,,,,,,,,,,,,1614+3351 B
1978,N8 CrB C,,,,,,615.2 B,,3689.00 B,,,,146362,6064,16 14 40.9,+33 51 31.0,0.04614,0.00093,21.67,0.28,251.9,-0.0214,-0.08688,,,,,,,,,,,,,1614+3351 C
1979,N8 CrB D,,,,,,615.2 C,,,79551,180-042,,,,16 14 40.9,+33 51 31.0,0.04614,0.00093,21.67,0.28,251.9,-0.0214,-0.08688,,,,,,,,,,,,,1614+3351 D
1980,N48 Cet,,,,,,1032,,,5410,268-130,,,,01 09 12.5,-24 41 20.9,0.04611,0.00365,21.69,0.3,85.6,0.0219,0.0229,,13.91,12.38,,,8.449,7.841,7.608,10.69,,,,0109-2441
1981,N23 Cep,,,,,,,,,102300,262-026,,,,20 43 41.4,+64 16 54.1,0.04611,0.00176,21.69,0.326,107.9,0.0477,-0.10054,,12.79,11.38,10.5,9.7,8.399,7.82,7.614,9.69,,,,2043+6416
1982,N11 Ara,,,,,,,,3770,81520,,CD-57 6486,149612,,16 39 04.1,-58 15 29.5,0.04609,0.00091,21.7,0.365,218.5,-0.0288,-0.28549,,7.64,7.03,,,5.855,5.542,5.464,5.34,-9.5,G3 V,check parallaxes,1639-5815
1983,N61 UMa,,,,,MN,417,,,54745,,BD+36 2162,97334,4345,11 12 32.4,+35 48 50.7,0.04604,0.0009,21.72,0.291,238.7,-0.0204,-0.15133,,7.02,6.41,6,5.7,5.265,5.021,4.959,4.72,-2.6,,,1112+3548
1984,N37 Psc,,,,,,1030,,217.05,5215,033-036,,,,01 06 41.5,+15 16 22.1,0.04603,0.0025,21.72,0.277,203.8,-0.0077,-0.25367,,12.92,11.46,11.3,,8.01,7.37,7.16,9.77,,K-M,,0106+1516
1985,N44 Hya,,,,,,,,,41802,113-042,,,,08 31 21.6,-06 02 01.7,0.04602,0.00628,21.73,0.473,264.2,-0.0316,-0.04821,,12.58,11.19,,,,,,9.5,,M1.5,CPM with G 113-043,0831-0602 A
1986,N44 Hya B,,,,,,,,,,113-043,,,,08 31 27.2,-06 02 12.5,0.04602,0.00628,21.73,,,,,,13.83,12.36,,,,,,10.67,,M3,CPM companion with G 113-042. Take plx from A comp,0831-0602 B
1987,N27 Cnc,,,,,,9256,1987,1937,40118,,BD+32 1695,68017,,08 11 38.6,+32 27 25.7,0.04601,0.00091,21.73,0.792,215.6,-0.0364,-0.64464,,7.5,6.81,6.4,6.1,5.48,5.15,5.09,5.12,27.3,,,0811+3227
1988,N45 Oph,,,,,,4035,,4090.11,,,,163489,,17 56 11.9,+04 50 00.2,0.046,0.0131,21.74,0.01,9,,,,8.94,7.84,,,5.802,5.252,5.146,6.15,,K0 III,,1756+0450
1989,N16 Pav,,,,,V353,,,,88118,,,,,17 59 49.6,-57 46 08.2,0.04599,0.01845,21.74,0.042,234.7,-0.0042,-0.02411,,11,10.49,,,10.552,10.053,9.947,8.8,,,,1759-5746
1990,N45 Hya,,,,,,3507,,,42074,,BD-00 2024,72760,,08 34 31.7,-00 43 33.8,0.04595,0.00101,21.76,0.196,276.9,-0.013,0.02342,,8.1,7.32,,,5.917,5.551,5.423,5.63,34.6,K0 V,,0834-0043
1991,N21 Pup,,,,,,3446,,,36515,,CD-37 3637,59967,2882,07 30 42.5,-37 20 21.7,0.04593,0.00058,21.77,0.103,301.5,-0.0074,0.0538,,7.274,6.67,,,5.527,5.253,5.099,4.98,8.6,G3 V,,0730-3720
1992,N53 Her,Ross 709,,,,,,,,90265,183-041,BD+24 3411,336187,,18 25 04.8,+24 38 04.5,0.04591,0.00183,21.78,0.449,185.3,-0.003,-0.44706,,12.18,11.11,9.87,8.92,7.899,7.17,6.98,9.41,,,,1825+2438
1993,N19 Lyn,,,,,,307.1,,2001,41484,,BD+46 1398,71148,3309,08 27 36.8,+45 39 10.7,0.0459,0.00084,21.79,0.352,183.1,-0.0018,-0.35148,,6.94,6.3,5.9,5.7,5.158,4.878,4.83,4.6,-33.8,G5 V,,0827+4539
1994,N9 CrB,,,,,,1197,3158,3656.01,,168-032,,,,16 07 15.5,+26 49 49.2,0.0459,0.0037,21.79,0.564,140,,,,14.97,13.33,12.2,10.8,9.62,9.027,8.799,11.63,,,,1607+2649
1995,N54 Her,,,,,,,5319,,81563,202-068,,,,16 39 30.3,+50 34 03.5,0.04589,0.00198,21.79,0.515,141.4,0.0337,-0.40303,,13.64,11.88,11.4,10.8,8.628,8.116,7.858,10.18,,,,1639+5034
1996,N40 Tau,,,,,,1063,,,17496,079-066,BD+11 514,,,03 44 51.1,+11 55 12.0,0.04587,0.00144,21.8,0.34,68.2,0.0215,0.12616,,10.37,9.18,8.4,7.8,6.927,6.318,6.204,7.48,81.9,,,0344+1155
1997,N46 Oph,,,,,,696,,4074,87322,,BD-06 4663,162283,,17 50 34.0,-06 03 01.1,0.04587,0.00193,21.8,0.134,191.2,-0.0017,-0.1314,12.891,11.59,10.16,9.27,8.39,7.384,6.704,6.541,8.47,-21,,"CNS91 ""SB?"" refuted in Tok92",1750-0603
1998,N12 Ind,,,,,,,3748,,108890,,,,,22 03 27.1,-50 38 38.2,0.04587,0.00809,21.8,0.6,144.1,0.0369,-0.48599,,13.4,12.1,,,8.627,8.037,7.812,10.4,,,,2203-5038
1999,N15 For,,,,,,154.1 A,,816.00 A,17544,,CD-28 1276,23588,,03 45 24.1,-27 51 45.0,0.04586,0.0014,21.81,0.35,66.4,0.0242,0.14023,,9.22 J,8.22 J,7.64 J,7.09 J,,,,6.53,,K2 V,,0345-2751 A
2000,N15 For B,,,,,,154.1 B,,,,,,,,03 45 24.1,-27 51 45.0,0.04586,0.0014,21.81,0.35,66.4,0.0242,0.14023,,,,,,,,,,,,,0345-2751 B
2001,N50 Dra,,,,,,4120,6354,4640.01,96702,260-030,,,,19 39 32.9,+71 52 19.1,0.04586,0.00126,21.81,0.483,203.2,-0.0408,-0.44371,,12.42,10.94,10.3,9.9,8.023,7.379,7.188,9.24,,,,1939+7152
2002,N29 Gem,,,,,V377,,,,38228,,BD+27 1490,63433,,07 49 55.1,+27 21 47.5,0.04584,0.00089,21.82,0.015,218.1,-0.0007,-0.01184,,7.57,6.93,,,,,,5.23,-16.5,,,0749+2721
2003,N16 For,,,,,,,,,14589,,,,,03 08 24.5,-24 10 23.5,0.04583,0.01106,21.82,0.162,177.3,0.0006,-0.16197,,,11.03,,,,,,9.33,,,,0308-2410
2004,N14 Scl,,The,,53 G.,,3013,,27,950,,CD-35 42,739,35,00 11 44.0,-35 07 59.2,0.04582,0.00066,21.82,0.204,56.1,0.0138,0.11375,,5.652,5.249,,,4.414,4.159,4.134,3.55,-1.7,F3/5 V,,0011-3507
2005,N38 Psc,,,,,,39,,170,3998,032-054,BD+17 112,4913,,00 51 21.8,+18 44 21.3,0.04581,0.00161,21.83,0.273,168.5,0.0038,-0.26714,,10.42,9.22,8.5,7.9,6.952,6.38,6.239,7.52,7.9,,,0051+1844
2006,N17 For,,Kap,,23 G.,,97,,488,11072,,CD-24 1038,14802,695,02 22 32.6,-23 48 58.7,0.04579,0.00082,21.84,0.197,91.3,0.0144,-0.00439,,5.81,5.21,4.85,4.51,4.135,3.712,3.741,3.51,18.4,G2 V,,0222-2348
2007,N16 Tuc,,,,65 G.,,31.5,1139,145,3497,,CD-66 38,4308,,00 44 39.3,-65 38 58.3,0.04578,0.00056,21.84,0.759,168,0.0255,-0.74238,,7.19,6.54,6.19,5.83,5.366,5.101,4.945,4.84,97.7,G5 V,,0044-6538
2008,N62 UMa,,,,,NQ,,,,65515,223-004,BD+57 1438,116956,,13 25 45.5,+56 58 13.8,0.04576,0.00072,21.85,0.218,273,-0.0266,0.01121,,8.109,7.286,6.8,6.4,5.812,5.481,5.411,5.58,-13.1,,,1325+5658
2009,N19 Sco,,,,,,,,,79578,,CD-31 12689,145825,,16 14 11.9,-31 39 49.1,0.04573,0.00095,21.87,0.265,197.9,-0.0064,-0.25261,,7.2,6.55,,,5.376,5.089,4.998,4.85,-21.8,G1 V,,1614-3139
2010,N6 Hyi,,Alp,,24 G.,,83,,415.1,9236,,CPD-62 162,12311,591,01 58 46.2,-61 34 11.5,0.04572,0.00055,21.87,0.264,84.2,0.0368,0.02688,,3.15,2.87,2.69,2.53,2.124,1.927,1.861,1.17,7,,"CNS91 ""VAR"" not confirmed/refuted",0158-6134
2011,N11 Vel,,,,215 G.,,397.2,,2468,51523,,CD-53 3569,91324,4134,10 31 21.8,-53 42 55.8,0.04572,0.00051,21.87,0.468,296.6,-0.0472,0.20946,,5.39,4.89,4.6,4.31,3.912,3.588,3.582,3.19,19.6,F5 V,,1031-5342
2012,N19 Lib,,,,,,1191,,3472.01,75253,,BD-10 4088,136713,,15 22 36.7,-10 39 40.1,0.04571,0.0014,21.88,0.21,195.9,-0.0039,-0.20238,,8.94,7.99,,,6.28,5.827,5.723,6.29,,K2 V,,1522-1039
2013,N55 Her,,,,,,700.2,3353,4127,88348,182-035,BD+26 3151,164922,,18 02 30.9,+26 18 46.8,0.04571,0.00071,21.88,0.718,147.1,0.029,-0.60245,,7.79,6.99,6.5,6.1,5.55,5.2,5.11,5.29,22.8,,,1802+2618
2014,N20 Lyn,,,,,,1121,2111,2180.12,,115-057,,,,09 09 20.5,+40 05 26.1,0.0457,0.0034,21.88,0.806,224,,,,16.35,14.53,13.27,11.65,10.14,9.62,9.31,12.83,,,,0909+4005
2015,N12 Ara,,Lam,,71 G.,,686.2,,4008,86486,,CD-49 11616,160032,6569,17 40 23.8,-49 24 56.1,0.0457,0.00079,21.88,0.206,149.6,0.0107,-0.17767,,5.15,4.75,4.5,4.25,,,,3.05,3.7,F2 V,,1740-4924
2016,N49 Cet,,,84,288 G.,,,,543.00 A,12530,,BD-01 377,16765,790,02 41 14.0,-00 41 44.4,0.04569,0.00128,21.89,0.252,119.8,0.0146,-0.1253,,,,,,,,,,,F5 V,,0241-0041 A
2017,N49 Cet B,,,,,,,,,,,,,,02 41 14.0,-00 41 44.4,0.04569,0.00128,21.89,0.252,119.8,0.0146,-0.1253,,,,,,,,,,,,from HIP; also in YPC,0241-0041 B
2018,N22 CVn,,,,,,498,,,63894,,BD+50 1979,113827,,13 05 41.4,+49 28 18.9,0.04569,0.00125,21.89,0.155,24.5,0.0066,0.14123,,10.44,9.27,8.6,8,7.066,6.46,6.362,7.56,-3.3,,,1305+4928
2019,N43 Aqr,,,,,,,,,110980,,,,,22 29 05.9,+01 39 48.2,0.04569,0.00192,21.89,0.202,167.2,0.003,-0.19661,,11.86,10.49,9.6,8.8,7.616,6.964,6.748,8.78,,,,2229+0139
2020,N13 Phe,,,,,,3102,1268,340,7554,,CD-49 451,,,01 37 20.8,-49 11 44.4,0.04567,0.00162,21.9,0.51,77.1,0.0508,0.11375,13.074,11.83,10.41,9.481,8.555,7.497,6.851,6.621,8.7,-11.1,,,0137-4911
2021,N30 And,,,,,V453,894.4,3936,5653,115331,190-020,BD+43 4445,220182,,23 21 36.5,+44 05 52.4,0.04565,0.00083,21.91,0.673,71,0.0591,0.2192,,8.18,7.38,6.93,6.55,5.936,5.574,5.467,5.68,1.6,K1 V,,2321+4405
2022,N40 Peg,,,,,,3008,,,687,,,,,00 08 27.3,+17 25 27.4,0.04564,0.00192,21.91,0.112,235.5,-0.0065,-0.06362,,12.19,10.73,,,7.807,7.165,6.98,9.02,,,,0008+1725
2023,N20 Sco,,Eta,,126 G.,,657,,3896,84143,,CD-43 11485,155203,6380,17 12 09.2,-43 14 21.1,0.04563,0.00079,21.92,0.288,175.6,0.002,-0.28741,,3.74,3.34,3.1,2.87,2.398,2.295,2.255,1.64,-27,,,1712-4314
2024,N41 Peg,,,,,,910,,5774.2,117779,,BD+28 4660,,,23 53 08.6,+29 01 05.1,0.04561,0.00376,21.93,0.075,287.9,-0.0054,0.0229,,11.2,9.77,,,7.169,6.532,6.392,8.06,2,M0 e,,2353+2901
2025,N14 Phe,,,,,,9051,,269.1,6075,,,,,01 17 56.7,-48 09 12.9,0.0456,0.015,21.93,0.25,63,,,,13.2,11.56,,,8.683,8,7.843,9.85,,,,0117-4809
2026,N50 Cet,,,,,,91.2 A,,,10542,,BD-18 394,14001,,02 15 46.1,-18 14 17.4,0.0456,0.0012,21.93,0.131,199,-0.003,-0.12347,,,7.95 J,7.35 J,6.84 J,,,,6.24,,K3 V,,0215-1814 A
2027,N50 Cet B,,,,,,91.2 B,,,,,,,,02 15 46.1,-18 14 17.4,0.0456,0.0012,21.93,0.131,199,-0.003,-0.12347,,,,,,,,,,,,from HIP,0215-1814 B
2028,N11 Lep,,,,,,3329,1734,1151.01,,,,,,05 05 54.0,-17 21 42.3,0.0456,0.004,21.93,0.687,16,,,,16.71,15.97,,,14.739,14.408,14.397,14.26,,WD,,0505-1721
2029,N47 Boo,,,,,,575.1,,3405,,167-015,,,,15 04 21.0,+29 28 19.4,0.0456,0.0141,21.93,0.295,125,,,,14.2,12.75,11.7,10.4,9.22,8.64,8.4,11.04,,,,1504+2928
2030,N12 Vul,,,,,,,,5123.01 A,145-031,,,,,21 17 24.4,+20 53 35.9,0.0456,0.0126,21.93,0.421,48,,,,,12.47,,,,,,,,M3,,2117+2053 A
2031,N12 Vul B,,,,,,,,5123.01 B,,,,,,21 17 24.4,+20 53 36.9,0.0456,0.0126,21.93,0.422,47,,,,,14,,,,,,,,M4,,2117+2053 B
2032,N63 UMa,,,,,,,,,61053,,BD+53 1554,108954,4767,12 30 50.1,+53 04 35.8,0.04558,0.00062,21.94,0.183,6.1,0.0022,0.1821,,6.74,6.22,5.9,5.6,5.116,4.891,4.82,4.51,-21.4,,,1230+5304
2033,N5 UMi,,,,,,,,3540.00 A,75809,,BD+80 480,139777,5829,15 29 11.2,+80 26 54.9,0.04558,0.00044,21.94,0.25,295.6,-0.0905,0.10778,,,,,,,,,,,,,1529+8026 A
2034,N5 UMi B,,,,,,,,3540.00 B,75829,,BD+80 481,139813,,15 29 23.6,+80 27 00.9,0.04558,0.00044,21.94,0.242,295.9,-0.0874,0.10553,,,,,,,,,,,,,1529+8026 B
2035,N8 Pic,,,,,,,,,31878,,CD-61 1439,,,06 39 50.0,-61 28 41.5,0.04556,0.00091,21.95,0.081,338.6,-0.0042,0.07585,,10.97,9.71,,,7.301,6.643,6.5,8,31.7,,,0639-6128
2036,N34 Leo,,,,,,423.1,2393,2627,55210,163-074,BD-04 3049,98281,,11 18 22.0,-05 04 02.3,0.04555,0.00099,21.95,0.809,100.7,0.0532,-0.15063,,8.01,7.28,6.87,6.49,5.914,5.575,5.457,5.57,10.3,G8 V,,1118-0504
2037,N28 Cnc,,,,,,336,2113,2182.01 A,44955,047-026,BD+33 1814,,,09 09 30.6,+32 49 09.5,0.0455,0.00235,21.98,0.712,208,-0.0265,-0.62862,12.54,11.35,9.98,9.11,8.17,,,,8.27,,,imaged companion in HIP,0909+3249 A
2038,N28 Cnc B,,,,,,,,,,,,,,09 09 30.6,+32 49 09.5,0.0455,0.00235,21.98,0.712,208,-0.0265,-0.62862,,,,,,,,,,,,from HIP; also in YPC,0909+3249 B
2039,N48 Boo,,,,,,554,2931,3290,70950,178-031,BD+36 2500,127506,,14 30 45.0,+35 27 13.5,0.04549,0.00103,21.98,0.52,292.5,-0.0393,0.19911,,9.75,8.7,8.09,7.55,6.76,6.31,6.14,6.99,-12,,,1430+3527
2040,N51 Cet,,,,,,31.4,1141,144,3535,001-020,BD+01 131,4256,,00 45 04.9,+01 47 07.9,0.04542,0.00095,22.02,0.575,184.9,-0.0033,-0.57307,,8.98,7.99,7.43,6.97,6.306,5.868,5.741,6.28,6.4,K3 V,,0045+0147
2041,N51 Dra,Dsiban,Psi1,31,,,694.1 A,,4069.00 A,86614,,BD+72 804,162003,6636,17 41 56.4,+72 08 55.8,0.04542,0.00075,22.02,0.271,174.4,0.0058,-0.26977,,,,,,,,,,,,,1741+7208 A
2042,N51 Dra B,,,,,,694.1 B,,4069.00 B,86620,,BD+72 805,162004,6637,17 41 58.1,+72 09 24.9,0.04542,0.00075,22.02,0.276,172.7,0.0076,-0.27361,,,,,,,,,,,,,1741+7208 B
2043,N15 Scl,,,,,,,,,5663,,CD-25 480,7279,,01 12 46.1,-25 14 08.1,0.0454,0.00155,22.03,0.13,81,0.0095,0.02031,,10.81,9.56,,,7.203,6.589,6.415,7.84,,K4 V,,0112-2514
2044,N42 Peg,,,,,,1290,,5748.01,,068-037,,,,23 44 23.3,+21 36 14.4,0.0454,0.004,22.03,0.428,79,,,,14.9,13.31,12.1,10.4,9.07,8.445,8.225,11.59,,,,2344+2136
2045,N17 Tuc,,Gam,,26 G.,,,,5629,114996,,CPD-58 8062,219571,8848,23 17 25.8,-58 14 08.6,0.04539,0.00061,22.03,0.087,336.3,-0.0044,0.07959,,4.369,4.003,,,,,,2.28,18.4,F3 IV/V,,2317-5814
2046,N6 CMa,,,,30 G.,,3394,,,30503,,CD-28 2981,45184,2318,06 24 43.9,-28 46 48.4,0.04538,0.00063,22.04,0.204,233.8,-0.0125,-0.12068,,7.01,6.37,,,5.219,4.962,4.871,4.65,-4.1,G2 V,,0624-2846
2047,N16 Scl,,,,,,17.2,,61,1768,266-100,CD-27 101,1815,,00 22 23.6,-27 01 57.3,0.04535,0.00602,22.05,0.453,152,0.0159,-0.39985,,9.2,8.3,7.8,7.34,6.696,6.244,6.129,6.58,0.4,K1 V,,0022-2701
2048,N47 Oph,,,,,,2121,3205,,80817,153-057,,,,16 30 13.1,-14 39 49.7,0.04535,0.00506,22.05,0.536,247.5,-0.0341,-0.20517,,13.86,12.35,11.25,9.84,8.416,7.923,7.598,10.63,,,,1630-1439
2049,N18 Sgr,,,,,,1239,,,96113,,CD-35 13554,183783,,19 32 30.3,-35 27 06.2,0.04534,0.00143,22.06,0.331,299.2,-0.0237,0.16139,,9.82,8.71,,,6.657,6.085,5.957,6.99,,K3/4 V,,1932-3527
2050,N28 Cyg,Gienah Cygni,Eps,53,,,806.1 A,5358b,4959.00 A,102488,,BD+33 4018,197989,7949,20 46 12.7,+33 58 12.9,0.04533,0.00053,22.06,0.486,47.2,0.0286,0.33028,,,,,,,,,,,,"SB in CNS91; CNS91 ""SB"" confirmed via YPC",2046+3358 A
2051,N28 Cyg B,,,,,,806.1 C,,,,,,,,20 46 12.7,+33 58 12.9,0.04533,0.00053,22.06,0.486,47.2,0.0286,0.33028,,,,,,,,,,,,interferometric companion in YPC,2046+3358 B
2052,N28 Cyg C,,,,,,806.1 B,5358a,,,,,,,20 46 12.7,+33 58 12.9,0.04533,0.00053,22.06,0.486,47.2,0.0286,0.33028,,,,,,,,,,,,,2046+3358 C
2053,N49 Boo,,,,,,593 A,,3531.00 C,76382,179-038,BD+40 2905,139341,,15 36 02.2,+39 48 08.9,0.04531,0.0005,22.07,0.483,273.3,-0.0419,0.02752,,,,,,,,,,,,,1536+3948 A
2054,N49 Boo B,,,,,,593 B,,3531.00 B,,,,,,15 36 02.2,+39 48 08.9,0.04531,0.0005,22.07,0.483,273.3,-0.0419,0.02752,,,,,,,,,,,,,1536+3948 B
2055,N49 Boo C,,,,,,591,,3531.00 A,76375,179-037,BD+40 2903,139323,,15 35 56.6,+39 49 52.0,0.04531,0.0005,22.07,0.452,276.4,-0.039,0.05029,,,,,,,,,,,,,1536+3948 C
2056,N52 Cet,,,,,,56.1,1228,268.1,6097,270-188,,,,01 18 16.0,-12 53 59.4,0.0453,0.00339,22.08,0.701,165.6,0.0119,-0.67914,14.326,13.27,11.81,10.8,9.58,8.356,7.737,7.55,10.09,,,,0118-1253
2057,N17 Scl,,,,,,4377,,,118008,267-001,CD-39 15200,224228,,23 56 10.7,-39 03 08.4,0.04528,0.00111,22.08,0.277,132,0.0177,-0.18507,,9.18,8.22,,,6.51,6.007,5.907,6.49,13.1,K3 V,,2356-3903
2058,N46 Hya,,,,,,3597,,,50921,,CD-29 8316,90156,,10 23 55.3,-29 38 43.9,0.04526,0.00075,22.09,0.107,339.1,-0.0029,0.09972,,7.572,6.947,,,5.685,5.382,5.245,5.22,26.4,G5 V,,1023-2938
2059,N6 Oct,,,,,,,3916,,114859,,,,,23 15 57.4,-81 22 21.2,0.04521,0.00204,22.12,0.518,77,0.2241,0.11672,,,,,,,,,,,,,2315-8122 A
2060,N6 Oct B,,,,,,,,,,,,,,23 15 57.4,-81 22 21.2,0.04521,0.00204,22.12,0.518,77,0.2241,0.11672,,,,,,,,,,,,from HIP,2315-8122 B
2061,N29 Cnc,,,,,,1110,2011,2011.01,,009-007,,,,08 28 11.4,+20 07 47.5,0.0452,0.0032,22.12,0.667,202,,,,14.58,13.12,12.05,10.7,9.4,8.87,8.68,11.4,,,,0828+2007
2062,N54 Vir,,,,,PX,,,,63742,,BD-04 3408,113449,,13 03 49.7,-05 09 42.5,0.0452,0.00127,22.12,0.29,220.8,-0.0127,-0.21955,,8.54,7.69,7.5,,6.053,5.674,5.509,5.96,0,K1 V,,1303-0509
2063,N24 Cep,,,,,,1266,3783,5402.01,,241-001,,,,22 16 34.8,+70 56 24.6,0.0452,0.0023,22.12,0.929,93,,,,13.56,12.12,11.13,9.96,8.746,8.273,8.017,10.4,,,,2216+7056
2064,N55 Vir,,,,,,,,,63383,,,,,12 59 19.0,+06 30 33.7,0.04519,0.04419,22.13,0.042,261.6,-0.0028,-0.00617,,10.65,10.18,,,8.879,8.54,8.468,8.45,,,large HIP parallax and error; corrupted by HIP 6,1259+0630
2065,N13 Ind,,,,,,,,,107022,,CD-74 1463,205536,,21 40 29.8,-74 04 27.5,0.04517,0.00067,22.14,0.253,326.7,-0.0338,0.21192,,7.9,7,,,5.734,5.411,5.274,5.27,33.8,G8 V,,2140-7404
2066,N36 Cas,,,,,,3122,,,8867,,BD+65 210,11373,,01 54 06.1,+66 10 34.3,0.04516,0.00109,22.14,0.146,197.9,-0.0074,-0.13921,,9.54,8.48,,,6.614,6.105,6.017,6.75,-28,,,0154+6610
2067,N52 Dra,,,,,,1139,5180a,2529,53327,253-040,BD+76 404,,,10 54 26.5,+76 03 56.8,0.04516,0.00103,22.14,0.455,288.2,-0.1197,0.14184,,10.7,9.6,8.8,8.3,7.315,6.707,6.594,7.87,-24.4,,,1054+7603
2068,N10 Gru,,,,32 G.,,851.2,3782,5379,109821,,CD-41 14804,210918,8477,22 14 38.7,-41 22 54.0,0.04516,0.00071,22.14,0.975,144.2,0.0507,-0.79108,,6.87,6.22,5.86,5.52,5.095,4.828,4.662,4.49,-18,G5 V,,2214-4122
2069,N31 And,Ross 322,,,,,52.2,137,222,,132-057,,,,01 07 49.6,+34 12 54.5,0.0451,0.0032,22.17,1.464,70,,,,14.97,13.37,12.33,11.06,9.84,9.31,9.08,11.64,,,,0107+3412
2070,N41 Tau,Wolf 1057,,,,,3245,178,768.01,,079-059,,,,03 42 30.3,+12 29 33.7,0.0451,0.012,22.17,1.572,152,,,,14.46,12.92,12.2,,9.599,9.113,8.878,11.19,,,,0342+1229
2071,N30 Cam,,,,,,3351,207,1231.01,,,,,,05 38 10.6,+79 31 18.6,0.0451,0.0014,22.17,1.192,141,,,,19.9,18.4,17.3,13.8,12.137,11.638,11.33,16.67,,,,0538+7931
2072,N29 Cyg,,,,,,793.1 A,,4893,101382,209-035,BD+41 3799,195987,,20 32 51.6,+41 53 54.6,0.04505,0.00064,22.2,0.479,340.9,-0.0141,0.4528,,,,,,,,,,,,SB 57.32 days in YPC; SB2 in Lat88,2032+4153 A
2073,N29 Cyg B,,,,,,793.1 B,,,,,,,,20 32 51.6,+41 53 54.6,0.04505,0.00064,22.2,0.479,340.9,-0.0141,0.4528,,,,,,,,,,,,spectroscopic companion,2032+4153 B
2074,N53 Cet,,,,85 G.,,,,171,3979,270-082,BD-05 138,4915,,00 51 10.8,-05 02 21.4,0.04504,0.00096,22.2,0.288,114.4,0.0176,-0.11918,,7.4,6.76,,,5.793,5.416,5.349,5.02,-3.77,G5 V,,0051-0502
2075,N64 UMa,,,,,,3585,2220,,49526,116-077,,,,10 06 43.8,+41 42 52.7,0.04504,0.00256,22.2,0.496,213.3,-0.0243,-0.41455,,12.84,11.33,10.39,9.36,8.209,7.62,7.403,9.6,,,,1006+4142
2076,N7 Tri,Ross 17,,,,,85.1,1348,440,,074-004,,,,02 10 04.5,+35 25 55.2,0.045,0.0228,22.22,0.567,213,,,,15.22,13.76,12.69,11.36,10.08,9.57,9.35,12.03,-171.2,,,0210+3525
2077,N42 Tau,,,,,,9132,,824,,,BD+23 548,23713,,03 48 07.2,+24 08 31.7,0.045,0.015,22.22,0.041,166,,,,9.8,9.25,9.11,,8.22,7.987,7.939,7.51,12,,,0348+2408
2078,N19 Ari,,,,,BC,113 A,,569.00 A,13081,036-033,BD+26 465,17382,,02 48 09.1,+27 04 07.1,0.04499,0.00112,22.23,0.293,115.8,0.0198,-0.12775,,,,,,,,,,,,"additional component near A; Gl 113 """"B""""?""; CNS91 component B not confirmed/refuted",0248+2704 A
2079,N19 Ari C,,,,,,113 C,,569.00 B,,,,,,02 48 09.1,+27 04 07.1,0.04499,0.00112,22.23,0.293,115.8,0.0198,-0.12775,,,,,,,,,,,,,0248+2704 C
2080,N34 Cen,,,,,,429.4,2417,2663,56153,,CD-56 3980,304391,,11 30 35.0,-57 08 02.0,0.04498,0.00099,22.23,0.556,273.8,-0.0682,0.03708,,9.39,8.33,7.74,7.25,6.495,6.019,5.868,6.6,-2.7,K4 Ve,,1130-5708
